,0
☹,sorry need dull night love
❤,i the excited dont love
🏻,i mad ️ happy got
😀,great got u ️ man
😂,i morning the you today
😃,i dont the ‍ start
😄,ill happy dont the getting
😅,day start ️ ‍ ill
😆,u want you mad so
😊,like i work love this
😍,️ ‍ great ill happy
😐,‍ ill know sorry today
😘,dont bad love excited sorry
😟,i think going u the
😠,good getting its know morning
😡,sorry life u way dull
😢,i ️ morning start ill
😤,people day ill like and
😩,dont love bad u ️
😭,i ️ start dont happy
😰,you start i sorry excited
😱,excited u got life mad
🙃,this hope love so going
🙄,start i ill you bad
🤣,want going ill dont its
